time.decay.1	time.decay.2	time.decay.3	time.decay.4	time.decay.5	time.decay.6	time.decay.7	time.decay.8	time.decay.9	
8.649555939003073490e+01 1.040561284047918633e+02 9.526793572887464734e+01 9.131556632273009200e+01 1.107738980804165578e+02 9.393742514750454120e+01 9.573326989911437579e+01 1.004281056400738521e+02 1.090319551025012856e+02
8.638709882629078152e+01 9.215076268537288229e+01 9.748117882704761428e+01 1.097907409867665933e+02 1.101704081577790788e+02 1.003601562123041901e+02 9.953143594542248707e+01 9.791088123298283108e+01 9.489133033112132409e+01
9.557536295362844214e+01 1.074665523311180948e+02 8.866926118110674793e+01 9.640398832698188869e+01 1.058420481111477329e+02 1.024127747547907461e+02 9.806075638569910780e+01 1.105218538813196432e+02 1.081681107436670857e+02
1.038175123364812151e+02 1.100247018938122920e+02 1.060647475163355864e+02 9.654024901421563243e+01 8.868647464331942842e+01 7.989662101588322685e+01 9.505791062551830350e+01 9.375436501473255646e+01 1.012211660060134477e+02
1.121685221486219319e+02 1.260825099534794873e+02 1.124440035479863269e+02 1.102950177188354104e+02 9.315662773556212528e+01 8.251382850946706071e+01 1.009215943993884537e+02 1.196971610548966964e+02 9.013315370695360684e+01
1.001559034164138495e+02 1.254673340013809337e+02 8.590174525483658385e+01 9.131871934297700477e+01 9.130821565371064708e+01 8.308515745345056303e+01 1.030581427226498334e+02 1.235842677389645416e+02 1.047505118152010368e+02
9.774226408286659762e+01 9.033021388389965978e+01 1.047946791346824682e+02 9.952597335296226788e+01 9.775303783801373925e+01 1.134013486808758273e+02 9.793286502055821074e+01 9.883011990057465823e+01 1.044896013814935714e+02
9.623004363054570831e+01 1.100648487509778306e+02 1.038397878528606100e+02 9.226764764034973609e+01 1.041107157560607419e+02 1.035543359479600980e+02 9.915385149253268082e+01 8.905557286137781148e+01 1.046151276839600968e+02
9.861562695144624513e+01 1.062338498438633252e+02 1.065756700648265536e+02 8.253420876093518643e+01 1.100442850170838653e+02 9.136340804515856462e+01 1.124792013473503545e+02 9.467542341048516619e+01 1.178608997373265197e+02
9.849862419500330191e+01 9.494347593771651361e+01 9.754381228369459222e+01 8.674132538706828655e+01 1.054011030990417623e+02 9.756658699417175740e+01 1.129514923376651012e+02 1.093721761104316386e+02 1.144053221471052098e+02
1.103544544971489358e+02 1.090699020968474429e+02 9.166428178886528144e+01 1.174649509293424074e+02 1.033172566777424208e+02 8.942125304026754407e+01 8.970821077683984868e+01 1.050353307554572098e+02 1.203574520671609207e+02
9.003919871958875376e+01 1.137954267837640145e+02 9.902513198176845322e+01 8.205562240515916983e+01 8.755981753534840095e+01 9.137946948258472446e+01 9.818673446313687236e+01 9.778360597140638788e+01 9.612191113329799919e+01
9.601232594697746947e+01 1.162952804491224299e+02 1.107569187315295096e+02 7.934741992935508392e+01 9.572273471453097216e+01 1.059502756279683382e+02 9.699501661777095762e+01 1.016920127232288280e+02 9.742324346010356351e+01
8.943831949801753467e+01 8.888781012880411936e+01 1.074453178284303476e+02 7.696571180636416898e+01 9.553607247913143397e+01 8.637427683636892084e+01 9.457490086303957355e+01 9.644590223718103061e+01 7.890282944235121931e+01
1.093597322890350938e+02 1.093507674336310629e+02 9.982847204338573022e+01 7.755537669943291235e+01 9.519997723016844304e+01 1.120838212777975968e+02 9.425132882761521103e+01 1.019367379017246122e+02 9.565598008446519884e+01
1.079138207168637535e+02 9.429287290922657405e+01 9.547460984130573536e+01 1.022989515851065221e+02 1.011167899421399312e+02 8.720261032747187357e+01 9.419618079097887176e+01 1.021732649728242848e+02 1.145505547910290005e+02
1.167940063319754529e+02 1.012540744746380312e+02 1.132606262688377399e+02 9.241492974021313955e+01 9.771853328621068613e+01 8.827166259774946866e+01 1.274744759722384799e+02 9.126590372869225121e+01 9.095676885266055933e+01
1.218154564433529288e+02 7.921574044643557500e+01 9.976874062719838321e+01 9.033462552525413969e+01 9.875955943387138802e+01 1.125299544485104803e+02 1.109154900180333527e+02 1.005064765782305614e+02 1.004585212761408854e+02
1.041005999561259330e+02 8.083613370493750949e+01 8.715707031623166756e+01 7.991680347697175080e+01 9.394680357110344460e+01 1.101063406476638704e+02 1.100699989887589112e+02 1.030845031009070567e+02 1.124998528465398806e+02
9.287389745610849445e+01 9.370759536284310798e+01 8.755471771619924937e+01 8.756556276321526866e+01 9.213227230434611670e+01 1.119726238633980842e+02 9.871449161522137672e+01 1.012395341645720350e+02 8.685981488892610969e+01
9.508087257289511740e+01 9.390052946283330471e+01 9.207358275846718243e+01 9.846470186701097305e+01 1.008847581233056871e+02 1.167357241035286393e+02 1.019938953602525231e+02 9.665682709150487995e+01 8.173693476587180839e+01
9.787666638376637707e+01 9.663717068067074933e+01 1.070314960373392381e+02 1.012731782321582017e+02 1.043381975632484284e+02 1.301169040216190922e+02 9.058644649146387451e+01 9.686497880608439459e+01 8.231014633779540191e+01
1.012893694161416818e+02 1.144902908303051845e+02 8.882288160374976371e+01 9.234544027167970626e+01 1.119014137479293112e+02 1.213087065576187342e+02 8.652447992364602669e+01 8.321536713950803232e+01 1.219988545945338672e+02
1.005584174346338813e+02 1.120609767002329704e+02 8.766223442969186408e+01 8.588184071258659458e+01 9.288440150550084695e+01 9.004637640369452356e+01 1.057699962200886574e+02 1.204041406164104018e+02 1.143980651005891644e+02
8.734309850986230117e+01 1.116179680945608368e+02 8.266241320607566934e+01 1.004472397889734623e+02 9.506057592957419899e+01 1.062631137309157623e+02 1.179525338453596248e+02 1.023887693813790492e+02 1.142775952315116399e+02
8.712036458023730745e+01 1.132380200385338753e+02 8.335878906310456671e+01 1.130568834989101248e+02 9.828353568127590734e+01 9.412397540640928639e+01 1.155379262673896932e+02 1.101230290441419726e+02 8.826399560229137364e+01
