log.prior	log.likelihood	log.likelihood.test.set
-9.216298537837952836e+02 0.000000000000000000e+00 -3.182043047769121813e+01
-8.845891840341325860e+02 0.000000000000000000e+00 -3.047230050218034592e+01
-8.829680333015664928e+02 0.000000000000000000e+00 -3.048506620358918440e+01
-8.576596203639990108e+02 0.000000000000000000e+00 -2.984889197111925796e+01
-8.758309533682114534e+02 0.000000000000000000e+00 -3.104570976693295847e+01
-9.090002273904034382e+02 0.000000000000000000e+00 -3.114288733725503278e+01
-8.948249382960407274e+02 0.000000000000000000e+00 -3.208254409854987443e+01
-9.048560204800286328e+02 0.000000000000000000e+00 -3.069378168269895468e+01
-8.954347512237374076e+02 0.000000000000000000e+00 -3.135404204948909523e+01
-8.735339724172945353e+02 0.000000000000000000e+00 -3.150904541730712083e+01
-8.697591840094916051e+02 0.000000000000000000e+00 -3.169454784545627035e+01
-8.666631070351238577e+02 0.000000000000000000e+00 -3.108316828502476881e+01
-8.683385154596336406e+02 0.000000000000000000e+00 -3.110271003137643220e+01
-8.698439912594785710e+02 0.000000000000000000e+00 -3.142155542637665633e+01
-8.676575816400923031e+02 0.000000000000000000e+00 -2.999670719396225138e+01
-8.856788672124173445e+02 0.000000000000000000e+00 -2.783014530573005629e+01
-8.992487584811306078e+02 0.000000000000000000e+00 -2.842854266706031297e+01
-8.973359488579912977e+02 0.000000000000000000e+00 -2.825364796822766777e+01
-8.949550991083749523e+02 0.000000000000000000e+00 -2.882619307739628312e+01
-8.805648975686809763e+02 0.000000000000000000e+00 -2.929638939566738998e+01
-8.801499313118943064e+02 0.000000000000000000e+00 -3.051487629428756065e+01
-8.884288089781503004e+02 0.000000000000000000e+00 -3.045385062855737601e+01
-8.618609621491045800e+02 0.000000000000000000e+00 -3.002107413499339827e+01
-8.395797078726587870e+02 0.000000000000000000e+00 -2.977789113789960140e+01
-8.420041760444401007e+02 0.000000000000000000e+00 -2.966062029898066044e+01
-8.211403848477764313e+02 0.000000000000000000e+00 -3.118834109636567575e+01
-8.245450459822241100e+02 0.000000000000000000e+00 -3.074705899351249627e+01
-8.158754732886602596e+02 0.000000000000000000e+00 -2.933828620702003320e+01
-8.515931748982019371e+02 0.000000000000000000e+00 -2.958930384304363770e+01
-8.199335995850115069e+02 0.000000000000000000e+00 -3.020749407096698746e+01
-8.312473585187410663e+02 0.000000000000000000e+00 -3.020148827112805634e+01
-8.483919115681657104e+02 0.000000000000000000e+00 -3.102344801906394878e+01
-8.449759386195278239e+02 0.000000000000000000e+00 -3.052538304992877727e+01
-8.448616427362700279e+02 0.000000000000000000e+00 -3.155002788654806523e+01
-8.619788433754589505e+02 0.000000000000000000e+00 -3.123666051776011443e+01
-8.837839562908321795e+02 0.000000000000000000e+00 -3.102605181185627714e+01
-9.061121642722898741e+02 0.000000000000000000e+00 -2.964668327541117776e+01
-8.960057420766820542e+02 0.000000000000000000e+00 -3.029327433934868452e+01
-8.752550835152665059e+02 0.000000000000000000e+00 -3.064835716623296946e+01
-8.866826467231677498e+02 0.000000000000000000e+00 -2.932704158596098409e+01
-8.668160401280034648e+02 0.000000000000000000e+00 -3.025656978940668296e+01
-9.062695529267442680e+02 0.000000000000000000e+00 -3.075627050888363101e+01
-8.939998842953623353e+02 0.000000000000000000e+00 -3.104931024294168651e+01
-8.991694958924766752e+02 0.000000000000000000e+00 -2.963890141668792921e+01
-9.169625223031612222e+02 0.000000000000000000e+00 -2.970128775505466479e+01
-9.138012811426085591e+02 0.000000000000000000e+00 -2.939031220578632997e+01
-9.047972634761986228e+02 0.000000000000000000e+00 -2.960350056855943990e+01
-9.322288659701332563e+02 0.000000000000000000e+00 -2.914143650128004026e+01
-9.211950182991361089e+02 0.000000000000000000e+00 -2.923734108975928336e+01
-9.034195917064757850e+02 0.000000000000000000e+00 -2.880577595041559391e+01
-9.138082680342552067e+02 0.000000000000000000e+00 -2.758442022089546697e+01
-9.081535746258584822e+02 0.000000000000000000e+00 -2.671066717685258141e+01
-9.100119107863633872e+02 0.000000000000000000e+00 -2.735015404842329190e+01
-9.073295937059176595e+02 0.000000000000000000e+00 -2.893897620603635801e+01
-9.214804141849706411e+02 0.000000000000000000e+00 -2.937923855730454648e+01
-9.086676077839729260e+02 0.000000000000000000e+00 -2.891629690656941420e+01
-9.335951299973143023e+02 0.000000000000000000e+00 -2.929003039685856891e+01
-9.104099032241423402e+02 0.000000000000000000e+00 -3.050126877887869625e+01
-9.073200437192266463e+02 0.000000000000000000e+00 -3.013123268444066127e+01
-8.889034091220041773e+02 0.000000000000000000e+00 -2.978694227112781334e+01
-8.917106436985576465e+02 0.000000000000000000e+00 -2.950951473281735105e+01
-9.106539117432535022e+02 0.000000000000000000e+00 -2.899701789395807339e+01
-9.342291097169664909e+02 0.000000000000000000e+00 -2.912784738751092561e+01
